date , max_temp , min_temp , weather , wind_dir , wind_force
20110101,5,-1, 雨夹雪 , 无持续风向 , 微风
20110102,7,0, 多云 , 无持续风向~北风 , 微风
20110103,6,0, 雨夹雪 , 北风 , 微风
20110104,4,-2, 雨夹雪~阴 , 北风 , 微风
20110105,5,-1, 多云 , 北风 , 微风
20110106,6,0, 多云~晴 , 北风 , 微风
20110107,6,0, 阴 , 东北风 , 微风
20110108,4,-2, 雨夹雪 , 东北风 , 微风
20110109,4,-2, 雨夹雪 , 北风 , 4-5级
20110110,2,-1, 小雪 , 北风 , 微风
20110111,4,-2, 中雪~小雪 , 东北风~北风 , 3-4级~4-5级
20110112,5,0, 阴 , 北风 , 微风
20110113,6,-1, 多云 , 东北风 , 微风
20110114,4,-3, 多云~晴 , 北风~东风 , 微风
20110115,4,-2, 多云~阴 , 北风 , 3-4级
20110116,3,-2, 阴~雨夹雪 , 北风 , 微风
20110126,5,0, 阴~雨夹雪 , 东风 , 微风
20110129,4,-2, 多云 , 东北风 , 微风
20110130,5,-1, 多云~晴 , 东北风 , 微风
20110131,6,0, 晴~多云 , 北风 , 微风
20110201,9,1, 多云 , 北风 , 微风
20110202,11,3, 晴 , 南风 , 微风
20110203,15,3, 晴~多云 , 南风~东南风 , 微风
20110204,15,3, 晴~多云 , 无持续风向 , 微风
20110205,16,5, 多云~晴 , 东北风 , 微风
20110206,15,4, 阴~多云 , 南风 , 微风
20110207,19,6, 多云 , 无持续风向 , 微风
20110208,19,6, 多云 , 北风 , 微风
20110209,13,3, 阴~小雨 , 北风 , 5-6级~4-5级
20110210,5,0, 中雨~小雨 , 东北风 , 微风
20110211,5,-1, 多云 , 北风 , 微风
20110212,7,1, 多云~小雨 , 北风 , 微风
20110213,4,-1, 雨夹雪 , 东北风 , 微风
20110214,6,-2, 阴~多云 , 无持续风向 , 微风
20110215,7,1, 多云~阴 , 东北风 , 微风
20110216,6,2, 小雨 , 东风 , 微风
20110217,6,3, 小雨~阴 , 东北风 , 微风
20110218,7,3, 阴~小雨 , 北风 , 微风
20110219,8,2, 阴~多云 , 无持续风向 , 微风
20110220,11,2, 多云~晴 , 东北风 , 微风
20110221,13,4, 晴~多云 , 东北风 , 微风
20110222,15,6, 晴~多云 , 东风 , 微风
20110223,16,8, 多云 , 东南风 , 微风
20110224,21,8, 晴~多云 , 东风 , 微风
20110225,13,6, 阴~阵雨 , 东北风 , 微风
20110226,17,8, 多云~阴 , 无持续风向 , 微风
20110227,20,6, 多云~阵雨 , 南风~北风 , 微风
20110228,8,4, 小雨 , 北风 , 5-6级~4-5级
20110301,7,2, 阴~多云 , 北风 , 微风
20110302,9,1, 晴~多云 , 无持续风向 , 微风
