"出发站点经度","出发站点纬度","到达站点经度","到达站点纬度","权重"
120.16378,30.26967,120.16105,30.27248,2043
120.16378,30.26967,120.166,30.26968,1320
120.16378,30.26967,120.16213,30.27575,1208
120.16378,30.26967,120.1609,30.26681,1015
120.16378,30.26967,120.16933,30.21987,865
120.16378,30.26967,120.15803,30.27541,844
120.16378,30.26967,120.15635,30.2781,795
120.16378,30.26967,120.162,30.26659,665
120.16378,30.26967,120.16268,30.25739,587
120.16378,30.26967,120.15593,30.26599,527
120.16378,30.26967,120.16589,30.2737,519
120.16378,30.26967,120.15993,30.25799,500
120.16378,30.26967,120.1698,30.26058,490
120.16378,30.26967,120.1596,30.2745,454
120.16378,30.26967,120.16059,30.27621,453
120.16378,30.26967,120.17148,30.26283,435
120.16378,30.26967,120.16848,30.26331,427
120.16378,30.26967,120.16043,30.25904,426
120.16378,30.26967,120.17161,30.26632,397
120.16378,30.26967,120.15442,30.27743,377
120.16378,30.26967,120.17271,30.26533,362
120.16378,30.26967,120.16422,30.2602,355
120.16378,30.26967,120.16855,30.28089,355
120.16378,30.26967,120.15279,30.27331,355
120.16378,30.26967,120.16693,30.27413,355
120.16378,30.26967,120.16523,30.26631,354
120.16378,30.26967,120.16582,30.26266,346
120.16378,30.26967,120.15437,30.2765,344
120.16378,30.26967,120.16676,30.26256,343
120.16378,30.26967,120.16184,30.25463,319
120.16378,30.26967,120.15819,30.2781,307
120.16378,30.26967,120.15796,30.28671,302
120.16378,30.26967,120.16817,30.27169,291
120.16378,30.26967,120.16662,30.26991,289
120.16378,30.26967,120.1705,30.27181,287
120.16378,30.26967,120.17342,30.26634,282
120.16378,30.26967,120.1474,30.27151,267
120.16378,30.26967,120.15185,30.26319,265
120.16378,30.26967,120.14964,30.28486,264
120.16378,30.26967,120.15185,30.26319,247
120.16378,30.26967,120.17198,30.2647,240
120.16378,30.26967,120.16641,30.27857,238
120.16378,30.26967,120.16584,30.25313,234
120.16378,30.26967,120.1589,30.2709,226
120.16378,30.26967,120.16211,30.287,226
120.16378,30.26967,120.16193,30.24412,221
120.16378,30.26967,120.17004,30.26018,219
120.16378,30.26967,120.14781,30.27527,217
120.16378,30.26967,120.18212,30.22058,211
120.16378,30.26967,120.16357,30.28583,211
120.16378,30.26967,120.17836,30.27159,207
120.16378,30.26967,120.16834,30.25946,204
120.16378,30.26967,120.16433,30.25793,195
120.16378,30.26967,120.15926,30.26703,189
120.16378,30.26967,120.1645,30.25738,188
120.16378,30.26967,120.16437,30.25872,188
120.16378,30.26967,120.17166,30.27191,187
120.16378,30.26967,120.14366,30.26981,186
120.16378,30.26967,120.16267,30.2763,184
120.16378,30.26967,120.15399,30.27315,184
120.16378,30.26967,120.16614,30.27419,181
120.16378,30.26967,120.17587,30.27422,177
120.16378,30.26967,120.16839,30.26028,171
120.16378,30.26967,120.15871,30.26669,169
120.16378,30.26967,120.16239,30.29283,168
120.16378,30.26967,120.17158,30.25462,160
120.16378,30.26967,120.14557,30.29119,160
120.16378,30.26967,120.17365,30.27682,158
120.16378,30.26967,120.14891,30.27181,157
120.16378,30.26967,120.14108,30.29706,153
120.16378,30.26967,120.15536,30.29096,152
120.16378,30.26967,120.15407,30.26499,150
120.16378,30.26967,120.15601,30.26033,144
120.16378,30.26967,120.16019,30.26063,144
120.16378,30.26967,120.17621,30.26408,144
120.16378,30.26967,120.17249,30.25961,143
120.16378,30.26967,120.15943,30.28317,143
120.16378,30.26967,120.1615,30.25234,142
120.16378,30.26967,120.17212,30.2604,142
120.16378,30.26967,120.1677,30.30286,141
120.16378,30.26967,120.16674,30.2741,139
120.16378,30.26967,120.15682,30.26003,137
120.16378,30.26967,120.17131,30.28123,137
120.16378,30.26967,120.1718,30.25972,136
120.16378,30.26967,120.15042,30.27027,136
120.16378,30.26967,120.1786,30.26742,136
120.16378,30.26967,120.15683,30.30754,135
120.16378,30.26967,120.17872,30.27718,135
120.16378,30.26967,120.16382,30.25114,134
120.16378,30.26967,120.16494,30.28368,132
120.16378,30.26967,120.15207,30.27221,130
120.16378,30.26967,120.16728,30.24518,127
120.16378,30.26967,120.1757,30.27021,127
120.16378,30.26967,120.1636,30.25972,126
120.16378,30.26967,120.15098,30.29307,123
120.16378,30.26967,120.16736,30.26,121
120.16378,30.26967,120.16119,30.25713,121
120.16378,30.26967,120.17091,30.25292,120
120.16378,30.26967,120.16839,30.2603,120
120.16378,30.26967,120.15163,30.27696,119
